index,data_type,data_name,count,label,probability
4632,uint256,completedGames,1,660,1.0
4633,address,ShareTokenAddress,2,870,1.0
4634,address,FungibleTokenAddress,2,870,1.0
4635,user_define_contract,ServiceTokenAddress,2,205,1.0
4636,user_define_contract,FungibleTokenAddress,2,205,0.5774596979440325
4637,mapping_type_static,tokenLockedAddresses,2,1220,0.15447607531029914
4638,mapping_type_static,whitelistedTransfer,11,1224,1.0
4639,uint256,nextMint,4,421,0.6490983777822527
4640,uint256,secondsBetweenMints,4,421,0.7605052996844213
4641,address,entrepreneur,4,862,1.0
4642,mapping_type_static,isAuthorized,74,1387,0.4942577538076195
4643,address,bts_address2,2,-1,0.0
4644,address,bts_address1,2,-1,0.0
4645,address,registryAdmin,1,852,1.0
4646,user_define_contract,logic,7,-1,0.0
4647,uint256,GolemSupply,1,755,0.7959710014369797
4648,uint256,tflag,1,-1,0.0
4649,mapping_type_static,_frozenAccount,9,1197,0.41686634699370906
4650,mapping_type_static,Balances,6,1405,1.0
4651,address,Founder,10,928,1.0
4652,mapping_type_dynamic,Users,1,170,0.9697764330744956
4653,uint32,FounderFeeInPercent,1,-1,0.0
4654,string,README,1,1447,0.9712771767233129
4655,uint256,NextTime,7,760,1.0
4656,bool,MintingStatus,3,1062,1.0
4657,uint256,totalMintSupply,3,-1,0.0
4658,mapping_type_static,isOperable,3,1320,0.3036717528506738
4659,bool,Minted,3,1062,1.0
4660,address,address_for_tokens,2,870,1.0
4661,uint256,etheur,2,729,1.0
4662,uint256,etheur_time,2,729,1.0
4663,uint256,airdropcounter,10,334,0.2525434549335931
4664,uint256,tokensPerAirdrop,10,292,0.5390883405963497
4665,uint256,airCount,3,304,0.7416261635459591
4666,uint256,airTotal,5,304,0.5961918351163614
4667,mapping_type_static,air,3,-1,0.0
4668,bool,openAir,3,1118,0.9821275477242558
4669,uint256,airNum,3,304,0.17187815838593495
4670,user_define_contract,PassportLogicRegistry,3,182,1.0
4671,uint256,startDateOfPayments,42,734,1.0
4672,uint256,periodOfOnePayments,41,734,0.694614662518418
4673,uint256,limitPerPeriod,41,658,0.5705280620599325
4674,uint256,alreadyTransfered,41,-1,0.0
4675,user_define_contract,company_token,82,211,1.0
4676,address,PartnerAccount,44,-1,0.0
4677,address,debtor,1,1000,0.2987218019228664
4678,address,creditor,2,1000,0.2987218019228664
4679,array_type_dynamic,NumPayments,1,18,0.8858436884385189
4680,address,tokenPriceProvider,1,-1,0.0
4681,uint8,isPaused,69,145,1.0
4682,mapping_type_static,cardPresaleCounter,3,1231,0.6129296723672731
4683,address,addrAdmin,23,-1,0.0
4684,address,addrFinance,17,878,0.6964406440611993
4685,address,addrService,13,877,0.389877833461633
4686,uint256,jackpotBalance,13,-1,0.0
4687,mapping_type_static,BuyArray,3,1344,0.807999292373572
4688,uint256,mintCount,9,432,0.8329269297332659
4689,uint256,deleteToken,7,509,0.7886923270265307
4690,mapping_type_static,freezes,29,1196,1.0
4691,bool,isAllowingTransfers,2,1108,0.8102633332286857
4692,address,reserveTokensAddress,3,879,0.12933968341385116
4693,address,bidoohAdminAddress,2,1027,0.3078411851643254
4694,uint256,periodRound,1,658,0.7878443475760046
4695,uint256,startRound,1,688,1.0
4696,uint256,altCapitalization,1,-1,0.0
4697,uint256,totalCapitalization,1,-1,0.0
4698,uint64,date01Oct2018,3,-1,0.0
4699,address,oracle1,2,886,1.0
4700,address,oracle2,2,886,0.5681548973323693
4701,address,oracle3,2,886,1.0
4702,uint256,last_sensor_id,1,777,0.8230931484868259
4703,uint8,last_sensor_status,1,112,1.0
4704,mapping_type_static,sensors_status,2,1333,1.0
4705,uint256,id_iexec,1,768,1.0
4706,uint256,bonusMultiplier,15,454,0.8289420242186185
4707,uint8,closed,35,138,0.5731826081145904
4708,uint8,projectsCount,1,107,1.0
4709,user_define_contract,moedaToken,5,211,1.0
4710,address,PRESALE_WALLET,5,978,1.0
4711,mapping_type_static,isProcessedTx,1,1370,1.0
4712,address,JntBeneficiary,4,845,0.7774006517219341
4713,user_define_contract,JntController,4,210,1.0
4714,bool,saleActive,11,1167,1.0
4715,uint256,npoll,4,-1,0.0
4716,mapping_type_static,DueTime,1,-1,0.0
4717,mapping_type_static,Premium,1,-1,0.0
4718,uint256,maxRound,1,688,1.0
4719,uint256,nextRound,1,688,1.0
4720,uint256,ownerPool,1,410,1.0
4721,uint8,pause,13,145,1.0
4722,address,owner1,63,1022,1.0
4723,address,ownerWithdrawTo,1,913,0.7672370939493119
4724,bool,owner2OK,1,-1,0.0
4725,address,owner2,66,1022,1.0
4726,bool,owner1OK,1,-1,0.0
4727,uint256,minimumWithdraw,1,322,1.0
4728,mapping_type_static,playerIds,1,1399,1.0
4729,uint256,playersCount,2,828,1.0
4730,uint256,registerFee,1,829,1.0
4731,mapping_type_static,id2Players,1,1399,1.0
4732,address,saleContract,11,-1,0.0
4733,bool,fundraising,6,1116,1.0
4734,uint256,bountyTokens,18,287,0.01760570466140352
4735,uint256,teamTokens,11,492,1.0
4736,address,teamAddressOne,10,926,0.23716421341746965
4737,address,teamAddressTwo,10,926,1.0
4738,address,advisorsAddress,5,887,1.0
4739,uint256,advisorsTokens,5,349,0.42902837511240094
4740,address,teamAddressThree,10,926,0.8463282545908167
4741,uint256,teamAddressThreeTokens,1,492,1.0
4742,address,marketingAddress,15,917,0.891168555622489
4743,uint256,marketingTeamTokens,1,492,0.36978984332653586
4744,uint256,releasedTeamTokens,1,492,0.49331738072819675
4745,uint256,releasedAdvisorsTokens,1,349,0.7555754850610751
4746,uint256,releasedMarketingTokens,1,490,0.801325963907636
